id пользователя;Вильямс;Шварц;Медник;Триандис;Друзья;Подписки;Подписки образование;Подписки опасные;% Подписки образование;% Подписки опасные;9_иностранные языки;8_философия;12_психология/педагогика;10_история/обществознание;7_филология/литература;5_техника и технологии;11_искусство/культура;4_математика;2_науки о земле;4_информатика;6_физика;3_химия;1_биология/медицина;3_16_юриспруденция;Преступный контент;Самоповреждающее поведение;Эстетика зла;Ненависть и агрессия и агрессия;Оружие ;Психоактивные вещества;Национализм;Депрессивный контент;Субкультура True Crime;Вульгарный контент;Суицидальный контент;Жестокий контент;Эстетика смерти;Оружие
6032;1;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6031;2;1;3;2;103;110;0;4;0,0%;3,6%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0
6033;2;2;2;1;47;17;1;0;5,9%;0,0%;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6027;2;2;2;2;180;36;2;0;5,6%;0,0%;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6045;2;1;1;2;253;650;13;24;2,0%;3,7%;2;0;0;1;0;4;3;0;0;0;1;2;0;0;0;0;3;3;0;2;0;0;0;8;1;5;1;1
6035;2;2;2;2;292;89;2;0;2,2%;0,0%;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6041;3;1;3;3;99;110;2;14;1,8%;12,7%;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;2;0;1;0;1;1;3;0;2;1;0
6039;2;2;2;2;107;100;1;2;1,0%;2,0%;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
6042;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6046;3;3;2;2;90;71;0;3;0,0%;4,2%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
